timestamp_start,timestamp_end,duration_hms
2025-11-12:11-02-58,2025-11-12:11-03-02,00:00:04
2025-11-12:11-04-41,2025-11-12:11-07-01,00:02:20
2025-11-12:11-10-15,2025-11-12:11-10-18,00:00:02
2025-11-12:11-11-41,2025-11-12:11-13-58,00:02:16
2025-11-12:11-26-46,2025-11-12:11-27-35,00:00:48
2025-11-12:11-28-34,2025-11-12:11-28-42,00:00:08
2025-11-12:11-30-06,2025-11-12:11-31-34,00:01:27
2025-11-12:11-36-59,2025-11-12:11-37-46,00:00:46
2025-11-12:11-50-36,2025-11-12:11-53-26,00:02:49
2025-11-12:12-29-12,2025-11-12:12-29-36,00:00:24
2025-11-12:12-31-52,2025-11-12:12-32-32,00:00:40
2025-11-12:12-46-34,2025-11-12:12-46-54,00:00:19
2025-11-12:12-51-45,2025-11-12:12-52-22,00:00:36
2025-11-12:12-53-19,2025-11-12:12-53-33,00:00:14
2025-11-12:12-54-22,2025-11-12:12-54-37,00:00:14
2025-11-12:13-01-42,2025-11-12:13-02-05,00:00:23
2025-11-12:13-03-46,2025-11-12:13-04-03,00:00:16
