timestamp_backend_inout,timestamp_reasoner_inout,timestamp_iot_inout,personCount,lampStatus,reasoningTime,endToEndTime,backendTime
2025-12-11:10-10-49,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,28,7
2025-12-11:10-10-51,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,15,9
2025-12-11:10-10-53,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,19,9
2025-12-11:10-10-55,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,27,9
2025-12-11:10-10-57,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,27,11
2025-12-11:10-10-59,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,15,9
2025-12-11:10-11-01,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,17,6
2025-12-11:10-11-03,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,33,10
2025-12-11:10-11-05,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,17,8
2025-12-11:10-11-07,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,13,6
2025-12-11:10-11-09,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,13,7
2025-12-11:10-11-11,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,17,6
2025-12-11:10-11-13,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,17,7
2025-12-11:10-11-15,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,22,6
2025-12-11:10-11-17,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,14,6
2025-12-11:10-11-19,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,14,8
2025-12-11:10-11-21,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,19,8
2025-12-11:10-11-23,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,18,6
2025-12-11:10-11-25,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,15,8
2025-12-11:10-11-27,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,16,11
2025-12-11:10-11-29,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,16,7
2025-12-11:10-11-31,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,19,8
2025-12-11:10-11-33,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,39,11
2025-12-11:10-11-35,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,19,8
2025-12-11:10-11-37,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,21,9
2025-12-11:10-11-39,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,21,7
2025-12-11:10-11-41,2025-12-11:10-10-49,2025-12-11:10-10-48,1,st_actON,150,15,4
