timestamp_start,timestamp_end,duration_hms
2025-11-26:07-51-00,2025-11-26:07-51-48,00:00:47
2025-11-26:07-53-30,2025-11-26:07-55-12,00:01:42
2025-11-26:07-55-32,2025-11-26:07-56-05,00:00:33
2025-11-26:07-56-20,2025-11-26:07-56-47,00:00:27
2025-11-26:07-57-51,2025-11-26:07-59-23,00:01:31
2025-11-26:07-59-42,2025-11-26:08-01-42,00:02:00
2025-11-26:08-03-08,2025-11-26:08-04-26,00:01:17
2025-11-26:08-04-53,2025-11-26:08-06-29,00:01:35
2025-11-26:08-07-36,2025-11-26:08-08-46,00:01:09
2025-11-26:08-10-54,2025-11-26:08-11-15,00:00:21
