timeStamp,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
30-10-2025 11:22:13,19.669,126.225,0,0,57,st_actOFF,st_washNO
30-10-2025 11:22:15,19.669,126.225,0,3559,62,st_actOFF,st_washNO
30-10-2025 11:22:17,185.249,138.839,247,1510,59,st_actOFF,st_washNO
30-10-2025 11:22:19,184.892,138.839,970,1510,109,st_actOFF,st_washNO
30-10-2025 11:22:21,184.926,138.839,126,1769,60,st_actOFF,st_washNO
30-10-2025 11:22:23,185.351,139.298,108,800,74,st_actOFF,st_washNO
30-10-2025 11:22:25,185.708,138.805,643,897,18,st_actOFF,st_washNO
30-10-2025 11:22:27,185.793,138.805,194,1273,17,st_actOFF,st_washNO
30-10-2025 11:22:29,400,139.23,186,808,21,st_actOFF,st_washNO
30-10-2025 11:22:31,185.3,139.298,116,812,21,st_actOFF,st_washNO
30-10-2025 11:22:33,184.892,139.298,122,696,22,st_actOFF,st_washNO
30-10-2025 11:22:35,185.317,138.89,180,874,76,st_actOFF,st_washNO
30-10-2025 11:22:37,185.402,139.315,164,904,42,st_actOFF,st_washNO
30-10-2025 11:22:40,400,138.839,173,899,56,st_actOFF,st_washNO
30-10-2025 11:22:42,186.184,139.281,100,821,20,st_actOFF,st_washNO
30-10-2025 11:22:44,3.74,2.38,202,806,72,st_actON,st_washYES
30-10-2025 11:22:46,4.063,3.349,127,1115,35,st_actON,st_washYES
30-10-2025 11:22:48,3.74,3.332,144,816,54,st_actON,st_washYES
30-10-2025 11:22:50,185.351,139.298,164,909,71,st_actOFF,st_washNO
30-10-2025 11:22:52,185.419,139.298,123,753,36,st_actOFF,st_washNO
30-10-2025 11:22:54,400,139.298,135,778,26,st_actOFF,st_washNO
30-10-2025 11:22:56,400,138.856,144,813,61,st_actOFF,st_washNO
30-10-2025 11:22:58,186.201,138.856,126,703,26,st_actOFF,st_washNO
30-10-2025 11:23:00,185.3,138.856,148,786,77,st_actOFF,st_washNO
