timestamp_backend,timestamp_reasoner,timestamp_iot,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
2025-12-05:14-58-45,-,-,60.673,33.762,0,0,52,st_actOFF,st_washNO
2025-12-05:14-58-47,-,-,60.673,33.762,0,0,12,st_actOFF,st_washNO
2025-12-05:14-58-49,2025-12-05:14-58-49,2025-12-05:14-58-47,36.38,33.779,119,351,12,st_actOFF,st_washNO
2025-12-05:14-58-51,2025-12-05:14-58-51,2025-12-05:14-58-49,72.522,33.762,127,253,13,st_actOFF,st_washNO
2025-12-05:14-58-53,2025-12-05:14-58-53,2025-12-05:14-58-51,4.335,33.762,121,240,11,st_actOFF,st_washNO
2025-12-05:14-58-56,2025-12-05:14-58-56,2025-12-05:14-58-53,60.214,33.762,95,244,10,st_actOFF,st_washNO
2025-12-05:14-58-58,2025-12-05:14-58-56,2025-12-05:14-58-54,37.536,33.762,156,309,797,st_actOFF,st_washNO
2025-12-05:14-59-00,2025-12-05:14-59-00,2025-12-05:14-58-57,63.291,33.745,852,1089,10,st_actOFF,st_washNO
2025-12-05:14-59-02,2025-12-05:14-59-02,2025-12-05:14-59-00,36.38,33.762,98,288,9,st_actOFF,st_washNO
2025-12-05:14-59-04,2025-12-05:14-59-04,2025-12-05:14-59-02,61.098,33.762,105,239,14,st_actOFF,st_washNO
2025-12-05:14-59-06,2025-12-05:14-59-06,2025-12-05:14-59-04,59.942,33.779,114,372,21,st_actOFF,st_washNO
2025-12-05:14-59-08,2025-12-05:14-59-08,2025-12-05:14-59-06,37.519,33.252,125,294,11,st_actOFF,st_washNO
2025-12-05:14-59-10,2025-12-05:14-59-09,2025-12-05:14-59-07,37.859,33.779,101,294,9,st_actOFF,st_washNO
2025-12-05:14-59-12,2025-12-05:14-59-12,2025-12-05:14-59-11,38.012,33.762,95,243,10,st_actOFF,st_washNO
2025-12-05:14-59-14,2025-12-05:14-59-14,2025-12-05:14-59-13,37.961,33.762,126,354,21,st_actOFF,st_washNO
2025-12-05:14-59-16,2025-12-05:14-59-16,2025-12-05:14-59-14,36.346,33.762,101,298,9,st_actOFF,st_washNO
2025-12-05:14-59-19,2025-12-05:14-59-18,2025-12-05:14-59-16,36.822,33.745,100,245,9,st_actOFF,st_washNO
2025-12-05:14-59-21,2025-12-05:14-59-20,2025-12-05:14-59-18,38.386,33.252,80,301,13,st_actOFF,st_washNO
2025-12-05:14-59-23,2025-12-05:14-59-22,2025-12-05:14-59-20,36.363,33.762,94,241,18,st_actOFF,st_washNO
2025-12-05:14-59-25,2025-12-05:14-59-24,2025-12-05:14-59-22,62.22,33.779,110,361,8,st_actOFF,st_washNO
